,[1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 1. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 1. 0. 0. 0. 0. 0.],[3. 3. 3. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 1. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 0. 0. 0. 0. 0. 0.],[5. 4. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 1. 0. 0. 0. 0. 0. 0.],[6. 3. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 0. 0. 0. 0. 0. 0. 0.],[9. 0. 0. 0. 0. 0. 0. 0. 0.]
[5. 2. 2. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.9523809523809523,-0.8888888888888888,-1.0,-0.9047619047619048,-0.7857142857142857,-0.6388888888888888,-0.6904761904761905,-0.5317460317460317,-0.2619047619047619,-0.8412698412698413,-0.6547619047619048,-0.4365079365079365,-0.35714285714285715,-0.0873015873015873,0.0873015873015873,-0.5952380952380952,-0.3492063492063492,-0.0,-0.0,0.5833333333333334,-0.2261904761904762,0.0873015873015873,0.4722222222222222,0.2619047619047619,0.6944444444444444,0.75,1.0
[5. 3. 1. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.8174603174603174,-1.0,-1.0,-0.8373015873015873,-0.4781746031746032,-0.8690476190476191,-0.5079365079365079,-0.0,-1.0,-0.8194444444444444,-0.4503968253968254,-0.49404761904761907,-0.0,-0.0,-0.8571428571428571,-0.49404761904761907,-0.0,-0.0,0.5833333333333334,-0.4880952380952381,-0.0,0.5833333333333334,0.0873015873015873,0.6111111111111112,0.7222222222222222,1.0
[5. 4. 0. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8333333333333334,-1.0,-0.8333333333333334,-0.3333333333333333,-1.0,-1.0,-0.875,-0.875,-0.4444444444444444,-0.5555555555555556,-1.0,-0.9166666666666666,-0.5833333333333334,-0.5833333333333334,-0.0,-0.9166666666666666,-0.6111111111111112,-0.0,-0.6111111111111112,-0.0,-0.0,0.7777777777777778
[6. 1. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.9126984126984127,-1.0,-1.0,-0.8412698412698413,-0.5634920634920635,-0.7420634920634921,-0.38492063492063494,0.2261904761904762,-1.0,-0.7420634920634921,-0.38492063492063494,-0.1626984126984127,0.2261904761904762,0.4880952380952381,-0.6111111111111112,-0.1626984126984127,0.2261904761904762,0.4880952380952381,0.9166666666666666,-0.0,0.44642857142857145,0.9166666666666666,0.6388888888888888,0.875,1.0,1.0
[6. 2. 1. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.9682539682539683,-1.0,-1.0,-0.9246031746031746,-0.751984126984127,-0.8690476190476191,-0.6666666666666666,-0.2619047619047619,-1.0,-0.8690476190476191,-0.6329365079365079,-0.5317460317460317,-0.1746031746031746,-0.0,-0.8015873015873016,-0.49404761904761907,-0.0873015873015873,-0.0,0.6111111111111112,-0.44642857142857145,-0.0,0.5833333333333334,0.0873015873015873,0.5833333333333334,0.7222222222222222,1.0
[6. 3. 0. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.875,-1.0,-0.9166666666666666,-0.6666666666666666,-1.0,-1.0,-0.875,-0.9166666666666666,-0.5833333333333334,-0.6111111111111112,-1.0,-0.875,-0.4722222222222222,-0.5833333333333334,-0.0,-0.9166666666666666,-0.5833333333333334,-0.0,-0.6111111111111112,-0.0,-0.0,0.7777777777777778
[7. 1. 1. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8412698412698413,-1.0,-0.7817460317460317,-0.2619047619047619,-1.0,-1.0,-0.7817460317460317,-0.7142857142857143,-0.2619047619047619,-0.0873015873015873,-1.0,-0.7142857142857143,-0.2619047619047619,-0.0873015873015873,0.6111111111111112,-0.6388888888888888,-0.0873015873015873,0.6111111111111112,-0.0,0.5833333333333334,0.6944444444444444,1.0
[7. 2. 0. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9583333333333334,-0.75,-1.0,-1.0,-0.9583333333333334,-0.9166666666666666,-0.7222222222222222,-0.6111111111111112,-1.0,-0.9166666666666666,-0.6944444444444444,-0.6111111111111112,-0.0,-0.875,-0.5833333333333334,-0.0,-0.5833333333333334,-0.0,-0.0,0.7777777777777778
[8. 1. 0. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-1.0,-1.0,-0.75,-0.7222222222222222,-1.0,-1.0,-0.75,-0.7222222222222222,-0.0,-1.0,-0.7222222222222222,-0.0,-0.6944444444444444,-0.0,-0.0,0.7777777777777778
[9. 0. 0. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7777777777777778,-1.0,-1.0,-0.7777777777777778,-1.0,-0.7777777777777778,-0.7777777777777778,-0.0
